province,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21,Jun21
Mae Hong Son,862.0,868.0,877.0,817.0,842.0,838.0,728.0,705.0,821.0,639.0,1156.0,1047.0,963.0,721.0,781.0,747.0,755.0,749.0,861.0,851.0,890.0,839.0,863.0,786.0
Maha Sarakham,1963.0,2080.0,1886.0,2427.0,1957.0,1806.0,2820.0,1646.0,1706.0,1139.0,2979.0,2802.0,2745.0,1888.0,2176.0,2395.0,2132.0,2155.0,1995.0,1909.0,2213.0,2284.0,1724.0,2107.0
Mukdahan,629.0,597.0,609.0,772.0,808.0,730.0,899.0,580.0,714.0,423.0,725.0,922.0,723.0,645.0,630.0,662.0,1024.0,816.0,701.0,683.0,732.0,729.0,641.0,888.0
Nakhon Nayok,756.0,958.0,1019.0,1052.0,781.0,1057.0,1359.0,1063.0,749.0,730.0,757.0,1083.0,794.0,923.0,865.0,753.0,1025.0,750.0,719.0,760.0,1239.0,1193.0,957.0,915.0
Nakhon Pathom,2600.0,2500.0,2328.0,2766.0,2727.0,2818.0,2883.0,2404.0,2252.0,1692.0,3409.0,2666.0,2546.0,2345.0,2350.0,2727.0,2326.0,2302.0,2653.0,2741.0,2594.0,2633.0,2467.0,2271.0
Nakhon Phanom,1424.0,1284.0,1631.0,1480.0,1382.0,1388.0,1527.0,1173.0,1276.0,857.0,1907.0,1458.0,1558.0,1192.0,1253.0,1299.0,1564.0,1100.0,1251.0,1170.0,1405.0,1214.0,1240.0,1611.0
Nakhon Ratchasima,4237.0,4979.0,4400.0,5069.0,5137.0,4202.0,3445.0,3641.0,3300.0,2340.0,4164.0,5543.0,4506.0,3619.0,3887.0,4077.0,4097.0,3770.0,3716.0,3634.0,5143.0,4658.0,5064.0,5146.0
Nakhon Sawan,2264.0,2054.0,2330.0,2599.0,2680.0,2383.0,2230.0,1709.0,2214.0,1205.0,3292.0,2860.0,3025.0,2269.0,2087.0,2249.0,2463.0,2092.0,2076.0,1757.0,2315.0,2111.0,2175.0,2146.0
Nakhon Si Thammarat,2452.0,2558.0,2386.0,2704.0,2927.0,2468.0,3208.0,2258.0,2542.0,1408.0,3661.0,4877.0,4487.0,2527.0,2676.0,2520.0,3447.0,2586.0,3614.0,2928.0,3011.0,2792.0,2721.0,3044.0
Nan,872.0,1052.0,1172.0,1316.0,1247.0,1161.0,1516.0,821.0,797.0,649.0,1323.0,1217.0,1103.0,905.0,992.0,1000.0,1194.0,889.0,722.0,758.0,1237.0,1158.0,1024.0,903.0
Narathiwat,1275.0,1192.0,1213.0,1340.0,1295.0,1305.0,1539.0,1261.0,1759.0,1093.0,1895.0,2200.0,2526.0,2884.0,1130.0,1157.0,1352.0,1191.0,1642.0,1402.0,1500.0,1354.0,1363.0,1301.0
Nong Bua Lam Phu,1005.0,1125.0,1183.0,1299.0,1192.0,1014.0,2023.0,818.0,761.0,397.0,827.0,1197.0,1025.0,1023.0,873.0,990.0,1223.0,951.0,701.0,708.0,1232.0,1134.0,928.0,900.0
Nong Khai,1189.0,1197.0,1234.0,1185.0,1202.0,1090.0,1593.0,1243.0,789.0,725.0,1553.0,1556.0,1390.0,1154.0,1158.0,1275.0,1438.0,1110.0,1269.0,1288.0,1413.0,1271.0,1198.0,1277.0
Nonthaburi,3714.0,4587.0,8514.0,5868.0,6087.0,10104.0,5540.0,3608.0,3465.0,2064.0,2858.0,4623.0,3669.0,3915.0,3496.0,3531.0,3663.0,3052.0,3535.0,3323.0,3649.0,3508.0,2829.0,3394.0
Pathum Thani,3359.0,3608.0,3579.0,3730.0,4536.0,7620.0,5450.0,3045.0,3344.0,2076.0,3383.0,4441.0,3709.0,3801.0,3543.0,3551.0,3780.0,3093.0,3827.0,3327.0,3581.0,3556.0,2869.0,3323.0
Pattani,1302.0,1253.0,1254.0,1346.0,1343.0,1075.0,1516.0,1209.0,1861.0,1097.0,2035.0,2280.0,2407.0,2938.0,1275.0,1240.0,1392.0,1160.0,1460.0,1366.0,1487.0,1284.0,1259.0,1324.0
Phangnga,702.0,846.0,591.0,767.0,687.0,707.0,1006.0,797.0,711.0,770.0,1258.0,1164.0,781.0,799.0,595.0,662.0,1037.0,864.0,719.0,1023.0,1394.0,1256.0,1056.0,960.0
